time,Open,High,Low,Close,Volume,Spread
2022-04-21,1.09443,1.0997,1.09351,1.09422,54591.0,23.375
2022-04-22,1.09494,1.09675,1.0897,1.0897,57422.0,24.97222222222222
2022-04-25,1.09267,1.09311,1.08231,1.08411,69798.0,25.885416666666668
2022-04-26,1.08405,1.08819,1.08317,1.0849,63455.0,24.444444444444443
2022-04-27,1.08468,1.09154,1.08433,1.08906,61056.0,23.57986111111111
2022-04-28,1.08871,1.09615,1.08665,1.09346,68023.0,24.39236111111111
2022-04-29,1.09349,1.0977,1.09065,1.09302,52155.0,26.322916666666668
2022-05-02,1.09198,1.09751,1.09114,1.0955,62165.0,29.45486111111111
2022-05-03,1.09547,1.10642,1.09396,1.10236,60425.0,25.086805555555557
2022-05-04,1.10197,1.11097,1.1004,1.1088,60226.0,23.89236111111111
2022-05-05,1.1087,1.10928,1.10391,1.10693,76184.0,25.444444444444443
2022-05-06,1.10516,1.10794,1.10169,1.10373,85018.0,25.489583333333332
2022-05-09,1.10197,1.10518,1.09834,1.0992,78310.0,25.944444444444443
2022-05-10,1.09852,1.10379,1.09808,1.10248,78059.0,23.805555555555557
2022-05-11,1.10255,1.10622,1.0998,1.10204,79325.0,25.760416666666668
2022-05-12,1.10145,1.10515,1.09822,1.09976,86972.0,24.458333333333332
2022-05-13,1.09942,1.10575,1.09873,1.10303,64645.0,27.15625
2022-05-16,1.10072,1.10659,1.10072,1.10455,73414.0,27.95486111111111
2022-05-17,1.10582,1.10791,1.10316,1.10489,67976.0,26.520833333333332
2022-05-18,1.10494,1.10628,1.10205,1.10438,62739.0,24.32986111111111
2022-05-19,1.10478,1.10686,1.09893,1.10419,86590.0,24.479166666666668
2022-05-20,1.10382,1.1044,1.09811,1.0991,70765.0,26.774305555555557
2022-05-23,1.10018,1.10489,1.09715,1.0986,65279.0,27.4375
2022-05-24,1.0975,1.10081,1.09658,1.09983,66329.0,26.177083333333332
2022-05-25,1.09983,1.10319,1.09209,1.09394,76558.0,23.65625
2022-05-26,1.09394,1.09671,1.09322,1.09516,60251.0,24.541666666666668
2022-05-27,1.09371,1.09652,1.0933,1.09496,45719.0,23.94097222222222
2022-05-30,1.09397,1.09843,1.09337,1.09703,38965.0,23.493055555555557
2022-05-31,1.0969,1.10355,1.09652,1.10136,59088.0,24.5
2022-06-01,1.1011,1.10758,1.09964,1.10621,60462.0,24.20486111111111
2022-06-02,1.106,1.10779,1.10523,1.10726,44172.0,24.17013888888889
2022-06-03,1.10727,1.10951,1.10606,1.1076,42350.0,22.97222222222222
2022-06-06,1.10501,1.109,1.10501,1.10816,41763.0,26.322916666666668
2022-06-07,1.10806,1.11615,1.10662,1.11375,58202.0,23.75347222222222
2022-06-08,1.11387,1.11625,1.11292,1.11569,56041.0,22.885416666666668
2022-06-09,1.11561,1.11616,1.111,1.11156,47845.0,23.42013888888889
2022-06-10,1.11148,1.11202,1.10747,1.10808,52982.0,22.569444444444443
2022-06-13,1.10698,1.10981,1.10538,1.10596,78405.0,24.87152777777778
2022-06-14,1.10595,1.10959,1.10315,1.10546,82778.0,23.96875
2022-06-15,1.10516,1.11449,1.10254,1.11373,82834.0,23.29513888888889
2022-06-16,1.11086,1.11663,1.10346,1.10719,88641.0,23.385416666666668
2022-06-17,1.10712,1.10881,1.09789,1.09811,80980.0,23.51388888888889
2022-06-20,1.09671,1.10054,1.09622,1.09781,56767.0,25.77777777777778
2022-06-21,1.09777,1.10143,1.09384,1.10052,63769.0,25.944444444444443
2022-06-22,1.10044,1.105,1.09798,1.10139,58091.0,25.739583333333332
2022-06-23,1.1012,1.10303,1.097,1.09812,50919.0,26.70486111111111
2022-06-24,1.09807,1.09971,1.09512,1.09866,63960.0,30.302083333333332
2022-06-27,1.09725,1.10014,1.09583,1.09826,59810.0,26.3125
2022-06-28,1.09871,1.10788,1.09611,1.10689,67102.0,27.333333333333332
2022-06-29,1.10672,1.10752,1.10282,1.10551,65611.0,24.614583333333332
2022-06-30,1.10648,1.10895,1.10429,1.10527,73980.0,26.6875
2022-07-01,1.10504,1.10635,1.09622,1.09777,73507.0,27.34375
2022-07-04,1.09608,1.10619,1.09603,1.10526,54996.0,30.77777777777778
2022-07-05,1.10499,1.10768,1.10098,1.1015,71879.0,28.399305555555557
2022-07-06,1.10188,1.10426,1.10039,1.10289,81086.0,25.42013888888889
2022-07-07,1.10229,1.10789,1.10013,1.10701,63550.0,26.68402777777778
2022-07-08,1.10689,1.10932,1.10539,1.10597,65746.0,26.239583333333332
2022-07-11,1.10562,1.10775,1.09938,1.10166,64352.0,27.993055555555557
2022-07-12,1.10166,1.10334,1.09925,1.10245,68338.0,25.024305555555557
2022-07-13,1.1021,1.10645,1.09905,1.10225,72393.0,26.09722222222222
2022-07-14,1.10213,1.10681,1.10021,1.10161,76941.0,24.79861111111111
2022-07-15,1.10131,1.10393,1.09744,1.10257,60316.0,26.67013888888889
2022-07-18,1.10112,1.10818,1.09911,1.10716,60884.0,26.447916666666668
2022-07-19,1.10695,1.10978,1.10575,1.10801,57939.0,24.399305555555557
2022-07-20,1.10801,1.10837,1.10347,1.10548,69498.0,28.131944444444443
2022-07-21,1.10515,1.11042,1.10381,1.10875,71319.0,27.95486111111111
2022-07-22,1.1079,1.11089,1.10589,1.10699,66628.0,25.743055555555557
2022-07-25,1.10507,1.11107,1.10458,1.11056,62136.0,30.038194444444443
2022-07-26,1.11009,1.11417,1.10734,1.11339,52503.0,25.23611111111111
2022-07-27,1.11309,1.11768,1.10921,1.11597,63586.0,24.416666666666668
2022-07-28,1.11597,1.11783,1.10954,1.11067,64774.0,26.9375
2022-07-29,1.11071,1.1134,1.10898,1.11044,66950.0,26.663194444444443
2022-08-01,1.10956,1.11255,1.1073,1.10921,58797.0,30.40277777777778
2022-08-02,1.10907,1.10979,1.10066,1.10621,71602.0,25.586805555555557
2022-08-03,1.10621,1.11061,1.10528,1.10763,61749.0,26.05902777777778
2022-08-04,1.1064,1.10988,1.10489,1.1058,50597.0,25.475694444444443
2022-08-05,1.10587,1.10782,1.10267,1.10689,59160.0,26.569444444444443
2022-08-08,1.10199,1.11251,1.10199,1.11093,41957.0,30.55902777777778
2022-08-09,1.11078,1.11214,1.10712,1.10712,41456.0,28.868055555555557
2022-08-10,1.10732,1.11241,1.10283,1.10582,54642.0,27.71875
2022-08-11,1.1055,1.1065,1.10328,1.10474,63218.0,27.04861111111111
2022-08-12,1.10482,1.10486,1.10032,1.10166,48944.0,26.63888888888889
2022-08-15,1.10041,1.10596,1.10041,1.1031,45742.0,30.48263888888889
2022-08-16,1.1021,1.10812,1.09944,1.10676,42377.0,25.989583333333332
2022-08-17,1.10573,1.10686,1.09889,1.10427,60066.0,25.67013888888889
2022-08-18,1.10403,1.10737,1.10099,1.10473,59168.0,26.13888888888889
2022-08-19,1.10477,1.11454,1.10293,1.11369,48636.0,25.774305555555557
2022-08-22,1.10995,1.11505,1.10981,1.11451,50800.0,28.19097222222222
2022-08-23,1.1143,1.1154,1.11215,1.11503,55957.0,26.461805555555557
2022-08-24,1.11493,1.11705,1.11023,1.11604,53013.0,26.145833333333332
2022-08-25,1.11549,1.12142,1.11484,1.1211,61118.0,26.6875
2022-08-26,1.1211,1.12538,1.11867,1.12278,60520.0,26.26736111111111
2022-08-29,1.12255,1.12391,1.12049,1.12156,52043.0,27.13888888888889
