time,Open,High,Low,Close,Volume,Spread
2020-03-23,21604.79,22052.29,21562.79,21634.79,39356.0,0.0
2020-03-24,22432.79,22754.29,22339.79,22646.79,40227.0,0.0
2020-03-25,23267.79,23576.29,23001.79,23555.29,38966.0,0.0
2020-03-26,23215.29,23536.29,23081.79,23195.79,40108.0,0.0
2020-03-27,23766.29,23789.79,23306.29,23316.29,34751.0,0.0
2020-03-30,23054.79,23508.29,22944.79,23097.29,37707.0,0.0
2020-03-31,23608.79,23608.79,23170.79,23474.79,34648.0,0.0
2020-04-01,23381.29,23513.79,22848.29,22964.79,36696.0,0.0
2020-04-02,22770.79,23217.29,22688.79,23197.29,37404.0,0.0
2020-04-03,22997.79,23189.29,22966.29,23154.79,30364.0,0.0
2020-04-06,23448.79,23825.29,23236.29,23722.79,35938.0,0.0
2020-04-07,24015.29,24244.29,23707.79,24233.29,38663.0,0.0
2020-04-08,24137.29,24137.29,23806.79,23892.29,38385.0,0.0
2020-04-09,24117.29,24316.79,23995.29,24280.29,33832.0,0.0
2020-04-14,24287.79,24573.29,24237.79,24379.79,33155.0,0.0
2020-04-15,24461.79,24584.79,24017.79,24027.79,32520.0,0.0
2020-04-16,23894.79,24098.79,23801.79,24024.79,32536.0,0.0
2020-04-17,24519.79,24659.29,24242.29,24339.29,32335.0,0.0
2020-04-20,24342.79,24449.29,24153.29,24338.29,34965.0,0.0
2020-04-21,24199.79,24220.29,23607.79,23730.79,35464.0,0.0
2020-04-22,23535.29,23902.79,23412.79,23829.29,33098.0,0.0
2020-04-23,23992.79,24078.29,23743.79,23888.79,32301.0,0.0
2020-04-24,23747.79,23920.29,23662.79,23866.79,29308.0,0.0
2020-04-27,24080.29,24406.79,24062.79,24324.79,27862.0,0.0
2020-04-28,24352.79,24605.79,24155.79,24601.79,30044.0,0.0
2020-04-29,24805.79,24878.29,24543.29,24607.79,30013.0,0.0
2020-05-04,23769.29,23829.79,23527.79,23533.79,30068.0,0.0
2020-05-05,23673.29,23902.79,23632.29,23848.79,22629.0,0.0
2020-05-06,23849.29,24240.29,23849.29,24168.79,27734.0,0.0
2020-05-07,24027.79,24081.29,23883.29,24009.79,25503.0,0.0
2020-05-08,24166.79,24266.79,24084.29,24199.29,23897.0,0.0
2020-05-11,24493.29,24786.79,24481.29,24632.29,24086.0,0.0
2020-05-12,24350.29,24403.79,24089.79,24242.79,27186.0,0.0
2020-05-13,24079.29,24330.79,23962.29,24164.79,27043.0,0.0
2020-05-14,24016.29,24044.79,23725.29,23797.79,29349.0,0.0
2020-05-15,23839.79,23986.79,23622.29,23795.79,30954.0,0.0
2020-05-18,23730.79,23948.79,23675.79,23947.79,26585.0,0.0
2020-05-19,24508.79,24577.29,24278.79,24387.79,28891.0,0.0
2020-05-20,24435.29,24513.79,24291.79,24349.29,24775.0,0.0
2020-05-21,24497.79,24506.79,24156.79,24235.79,27634.0,0.0
