time,Open,High,Low,Close,Volume,Spread,RealVolume
2026-04-21 07:00:00,54.76,54.8,54.76,54.79,41.0,120.0,0.0
2026-04-21 07:05:00,54.79,54.81,54.78,54.79,48.0,120.0,0.0
2026-04-21 07:10:00,54.79,54.8,54.79,54.8,16.0,120.0,0.0
2026-04-21 07:15:00,54.8,54.88,54.8,54.81,63.0,120.0,0.0
2026-04-21 07:20:00,54.81,54.86,54.8,54.86,23.0,120.0,0.0
2026-04-21 07:25:00,54.86,54.95,54.86,54.9,37.0,120.0,0.0
2026-04-21 07:30:00,54.9,54.91,54.85,54.86,38.0,120.0,0.0
2026-04-21 07:35:00,54.86,54.94,54.86,54.89,60.0,120.0,0.0
2026-04-21 07:40:00,54.89,54.91,54.86,54.91,33.0,120.0,0.0
2026-04-21 07:45:00,54.92,54.93,54.87,54.9,35.0,120.0,0.0
2026-04-21 07:50:00,54.9,54.96,54.9,54.95,39.0,120.0,0.0
2026-04-21 07:55:00,54.95,54.97,54.95,54.96,46.0,120.0,0.0
2026-04-21 08:00:00,54.96,55.0,54.96,55.0,42.0,120.0,0.0
2026-04-21 08:05:00,55.0,55.11,55.0,55.1,23.0,120.0,0.0
2026-04-21 08:10:00,55.1,55.11,55.05,55.06,44.0,120.0,0.0
2026-04-21 08:15:00,55.06,55.09,55.04,55.04,33.0,120.0,0.0
2026-04-21 08:20:00,55.04,55.11,55.01,55.07,45.0,120.0,0.0
2026-04-21 08:25:00,55.07,55.09,54.99,55.04,65.0,120.0,0.0
2026-04-21 08:30:00,55.04,55.04,55.02,55.02,48.0,120.0,0.0
2026-04-21 08:35:00,55.02,55.03,55.0,55.0,32.0,120.0,0.0
2026-04-21 08:40:00,55.0,55.01,54.98,54.98,48.0,120.0,0.0
2026-04-21 08:45:00,54.98,54.98,54.95,54.97,33.0,120.0,0.0
2026-04-21 08:50:00,54.97,54.98,54.96,54.97,29.0,120.0,0.0
2026-04-21 08:55:00,54.97,54.98,54.97,54.97,21.0,120.0,0.0
2026-04-21 09:00:00,54.97,55.0,54.92,54.93,56.0,120.0,0.0
2026-04-21 09:05:00,54.93,54.96,54.92,54.94,47.0,120.0,0.0
2026-04-21 09:10:00,54.94,54.96,54.93,54.95,35.0,120.0,0.0
2026-04-21 09:15:00,54.95,54.96,54.9,54.9,40.0,120.0,0.0
2026-04-21 09:20:00,54.9,54.91,54.85,54.86,51.0,120.0,0.0
2026-04-21 09:25:00,54.86,54.88,54.84,54.87,35.0,120.0,0.0
2026-04-21 09:30:00,54.87,55.04,54.87,55.04,61.0,120.0,0.0
2026-04-21 09:35:00,55.04,55.13,55.04,55.07,117.0,120.0,0.0
2026-04-21 09:40:00,55.08,55.11,55.08,55.09,30.0,120.0,0.0
2026-04-21 09:45:00,55.09,55.12,55.06,55.09,51.0,120.0,0.0
2026-04-21 09:50:00,55.09,55.1,55.08,55.09,25.0,120.0,0.0
2026-04-21 09:55:00,55.08,55.1,55.06,55.07,18.0,120.0,0.0
2026-04-21 10:00:00,55.07,55.07,54.96,55.06,94.0,120.0,0.0
2026-04-21 10:05:00,55.06,55.13,55.06,55.11,60.0,120.0,0.0
2026-04-21 10:10:00,55.11,55.14,55.03,55.06,62.0,120.0,0.0
2026-04-21 10:15:00,55.06,55.12,55.06,55.12,58.0,120.0,0.0
2026-04-21 10:20:00,55.12,55.15,55.09,55.11,62.0,120.0,0.0
2026-04-21 10:25:00,55.11,55.32,55.11,55.3,139.0,120.0,0.0
2026-04-21 10:30:00,55.3,55.33,55.25,55.25,103.0,120.0,0.0
2026-04-21 10:35:00,55.25,55.34,55.24,55.33,55.0,120.0,0.0
