time,Open,High,Low,Close,Volume,Spread
2022-04-21,86.673,87.177,86.265,86.419,97394.0,33.725563909774436
2022-04-22,86.439,86.521,85.042,85.211,104091.0,34.24305555555556
2022-04-25,85.134,85.442,84.105,84.728,109898.0,38.857638888888886
2022-04-26,84.804,85.122,83.437,83.46,106323.0,36.614583333333336
2022-04-27,83.466,84.265,83.3,83.981,97745.0,36.30555555555556
2022-04-28,83.987,85.405,83.867,84.836,115401.0,37.84027777777778
2022-04-29,84.84,85.154,83.631,83.716,96748.0,38.02777777777778
2022-05-02,83.853,84.198,83.431,83.659,84663.0,38.44444444444444
2022-05-03,83.665,84.173,83.354,83.721,80234.0,38.298611111111114
2022-05-04,83.6,84.648,83.525,84.436,85655.0,36.21527777777778
2022-05-05,84.464,84.808,83.379,83.605,115338.0,34.46527777777778
2022-05-06,83.598,84.1,83.42,83.585,121385.0,35.28125
2022-05-09,83.487,83.656,82.304,82.305,120797.0,37.36805555555556
2022-05-10,82.304,82.822,81.608,82.0,125990.0,35.423611111111114
2022-05-11,82.003,82.986,81.469,81.713,125089.0,36.09027777777778
2022-05-12,81.742,81.832,79.439,79.887,147510.0,35.833333333333336
2022-05-13,79.833,81.286,79.791,81.253,109856.0,36.87152777777778
2022-05-16,80.94,81.587,80.155,81.426,111086.0,39.28472222222222
2022-05-17,81.459,82.47,81.27,82.209,104150.0,35.80902777777778
2022-05-18,82.201,82.401,80.62,80.688,102193.0,35.66319444444444
2022-05-19,80.684,81.871,80.468,81.505,139423.0,35.920138888888886
2022-05-20,81.42,82.214,81.2,81.878,112585.0,35.62847222222222
2022-05-23,81.778,82.761,81.581,82.717,93635.0,37.041666666666664
2022-05-24,82.714,82.714,81.267,81.957,96030.0,37.16319444444444
2022-05-25,81.944,82.816,81.419,82.368,88699.0,33.34375
2022-05-26,82.331,82.848,81.862,82.326,73623.0,34.35069444444444
2022-05-27,82.12,83.104,82.11,82.91,63186.0,34.80555555555556
2022-05-30,82.937,83.691,82.793,83.534,81302.0,33.552083333333336
2022-05-31,83.534,84.04,83.279,83.57,172864.0,34.177083333333336
2022-06-01,83.672,84.622,83.356,84.266,169424.0,32.954861111111114
