time,Open,High,Low,Close,Volume,Spread
2021-12-10,7315.4,7342.1,7289.8,7299.6,44616.0,168.3050847457627
2021-12-13,7303.7,7339.2,7234.9,7255.2,53441.0,228.53479853479854
2021-12-14,7255.7,7296.6,7217.8,7236.7,82549.0,217.9120879120879
2021-12-15,7235.2,7248.7,7176.2,7239.7,64794.0,230.91575091575092
2021-12-16,7236.4,7290.3,7220.5,7267.4,75861.0,220.6959706959707
2021-12-17,7265.2,7304.4,7241.7,7252.7,95565.0,183.33333333333334
2021-12-20,7239.4,7266.6,7111.8,7262.2,100054.0,196.4102564102564
2021-12-21,7259.7,7331.0,7250.6,7325.7,68914.0,209.74358974358975
2021-12-22,7321.5,7375.1,7284.1,7365.5,52385.0,213.6996336996337
2021-12-23,7364.0,7397.6,7341.4,7379.5,44469.0,210.14652014652015
2021-12-24,7381.5,7417.1,7359.2,7387.3,7194.0,264.69879518072287
2021-12-29,7458.6,7470.5,7415.6,7429.1,48363.0,149.07630522088354
2021-12-30,7429.8,7445.7,7392.8,7398.8,36520.0,212.93040293040292
2021-12-31,7400.2,7416.4,7364.2,7401.5,10512.0,247.67857142857142
2022-01-04,7476.5,7533.1,7436.6,7498.8,62140.0,153.1726907630522
2022-01-05,7500.4,7541.0,7458.5,7468.0,55367.0,202.52747252747253
2022-01-06,7469.9,7507.7,7412.8,7457.4,91141.0,222.16117216117217
2022-01-07,7461.4,7506.9,7440.0,7494.9,76425.0,206.32958801498128
2022-01-10,7498.9,7518.1,7430.5,7482.0,91139.0,211.6849816849817
2022-01-11,7479.9,7533.2,7467.2,7519.4,75498.0,217.32600732600733
2022-01-12,7518.9,7574.7,7516.0,7553.9,69755.0,237.87545787545787
2022-01-13,7552.8,7579.5,7530.1,7535.7,72135.0,224.17582417582418
2022-01-14,7540.2,7578.3,7515.1,7572.2,78531.0,216.21722846441946
2022-01-17,7584.5,7624.7,7557.4,7615.5,33624.0,212.93233082706766
2022-01-18,7621.2,7635.6,7538.8,7570.2,80622.0,235.75091575091574
2022-01-19,7568.3,7625.4,7526.7,7589.3,89908.0,240.58608058608058
2022-01-20,7589.6,7644.0,7488.8,7516.1,81846.0,244.65201465201466
2022-01-21,7516.8,7542.7,7427.8,7433.3,112999.0,224.9438202247191
2022-01-24,7447.3,7502.7,7235.3,7389.3,123745.0,240.54945054945054
2022-01-25,7378.9,7460.4,7313.8,7362.9,127080.0,223.6996336996337
2022-01-26,7376.5,7535.5,7376.5,7436.0,111223.0,225.34798534798534
2022-01-27,7451.1,7604.5,7330.5,7573.5,131610.0,208.2051282051282
2022-01-28,7578.6,7593.0,7426.2,7495.1,118397.0,202.24719101123594
2022-01-31,7512.8,7542.5,7456.7,7514.3,72135.0,222.71062271062272
2022-02-01,7514.7,7596.7,7488.5,7585.7,58860.0,206.7032967032967
2022-02-02,7588.1,7620.7,7565.1,7579.6,50140.0,191.06227106227107
2022-02-03,7574.8,7611.3,7519.3,7577.3,67405.0,232.30769230769232
2022-02-04,7573.7,7605.2,7502.1,7529.7,81637.0,222.02247191011236
2022-02-07,7549.5,7604.3,7510.9,7583.9,56204.0,224.76190476190476
2022-02-08,7584.1,7638.1,7554.5,7600.5,47244.0,211.9047619047619
2022-02-09,7601.3,7672.1,7596.7,7664.1,41315.0,218.71794871794873
2022-02-10,7666.6,7694.7,7618.8,7628.3,43732.0,214.5054945054945
2022-02-11,7629.7,7676.3,7582.1,7600.2,63224.0,195.99250936329588
2022-02-14,7599.2,7637.6,7486.1,7529.7,62394.0,208.71794871794873
2022-02-15,7529.4,7616.4,7497.9,7597.0,41183.0,209.45054945054946
2022-02-16,7598.5,7634.9,7564.4,7601.5,34834.0,206.8131868131868
2022-02-17,7593.0,7604.5,7493.0,7508.0,55893.0,202.67399267399267
2022-02-18,7503.5,7570.0,7490.9,7508.5,55956.0,192.09737827715355
2022-02-21,7468.9,7567.9,7407.3,7414.9,64816.0,183.97727272727272
2022-02-22,7414.4,7526.4,7353.9,7474.9,73474.0,198.35164835164835
2022-02-23,7476.2,7548.3,7456.9,7462.2,72792.0,210.0732600732601
2022-02-24,7448.2,7462.2,7171.1,7267.2,93881.0,205.27472527472528
2022-02-25,7268.2,7561.1,7249.1,7543.8,69659.0,195.5430711610487
2022-02-28,7540.9,7540.9,7315.5,7389.8,90388.0,211.7948717948718
2022-03-01,7387.4,7495.8,7268.8,7321.4,65428.0,212.96703296703296
2022-03-02,7321.0,7461.9,7292.9,7407.5,68176.0,213.4798534798535
2022-03-03,7406.1,7468.5,7220.0,7248.1,60566.0,208.6813186813187
2022-03-04,7254.2,7265.7,6908.1,6967.2,62005.0,183.33333333333334
2022-03-07,6937.6,7027.2,6756.0,6887.4,88887.0,206.37362637362637
2022-03-08,6886.7,7107.1,6837.6,6988.7,87264.0,214.76190476190476
2022-03-09,6989.9,7249.8,6989.4,7190.4,58432.0,213.2234432234432
2022-03-10,7164.9,7179.3,7060.8,7108.9,64999.0,219.3040293040293
2022-03-11,7112.5,7259.9,7048.4,7111.5,65608.0,200.2996254681648
2022-03-14,7141.3,7223.0,7133.8,7177.2,101792.0,198.97727272727272
2022-03-15,7176.0,7209.0,7073.8,7182.2,99194.0,198.56060606060606
2022-03-16,7184.6,7342.5,7167.1,7321.7,102244.0,197.31060606060606
2022-03-17,7304.9,7414.0,7253.3,7378.1,46940.0,195.79545454545453
2022-03-18,7370.8,7451.0,7310.7,7445.1,85320.0,200.71969696969697
2022-03-21,7426.6,7462.6,7381.5,7443.3,67706.0,194.96212121212122
2022-03-22,7428.8,7491.3,7415.6,7482.1,60333.0,181.17424242424244
2022-03-23,7486.6,7518.0,7422.2,7439.2,42053.0,200.45454545454547
2022-03-24,7430.9,7491.8,7426.2,7478.5,41199.0,196.5530303030303
2022-03-25,7470.5,7515.9,7437.4,7507.9,41343.0,199.0909090909091
2022-03-28,7503.8,7538.9,7457.8,7495.3,41941.0,216.50735294117646
2022-03-29,7494.9,7583.8,7491.4,7552.7,51022.0,221.7216117216117
2022-03-30,7553.6,7582.0,7522.0,7568.1,42317.0,221.53846153846155
2022-03-31,7564.0,7592.8,7484.5,7504.0,76196.0,208.75457875457874
2022-04-01,7498.1,7567.7,7493.6,7551.6,59860.0,209.06367041198502
2022-04-04,7559.0,7579.9,7528.5,7556.5,38836.0,224.32234432234432
2022-04-05,7556.6,7615.6,7533.5,7592.1,48973.0,222.05882352941177
2022-04-06,7592.2,7616.7,7531.8,7583.7,67183.0,230.98901098901098
2022-04-07,7578.6,7618.4,7529.9,7598.0,66400.0,218.7912087912088
2022-04-08,7600.2,7667.3,7581.8,7643.6,51370.0,221.16104868913857
2022-04-11,7652.6,7676.1,7569.5,7584.6,58488.0,234.54212454212455
2022-04-12,7587.2,7591.7,7527.4,7544.2,69451.0,238.57142857142858
2022-04-13,7548.4,7593.0,7539.3,7563.9,60371.0,239.48717948717947
2022-04-14,7564.8,7618.4,7545.2,7598.7,65443.0,215.9848484848485
2022-04-19,7617.4,7631.9,7562.2,7610.7,55888.0,171.36546184738955
2022-04-20,7609.7,7643.4,7589.6,7636.5,54207.0,229.8901098901099
2022-04-21,7625.9,7660.9,7540.6,7548.0,69633.0,243.15018315018315
2022-04-22,7556.1,7615.0,7472.1,7477.6,69232.0,191.19850187265916
2022-04-25,7494.2,7501.2,7340.3,7450.7,93648.0,232.30769230769232
2022-04-26,7446.7,7488.9,7298.2,7305.7,74658.0,230.14652014652015
2022-04-27,7326.0,7479.5,7320.5,7474.5,89819.0,209.78021978021977
2022-04-28,7465.0,7574.5,7436.4,7543.5,80230.0,233.1868131868132
2022-04-29,7531.5,7583.4,7439.0,7443.9,77260.0,203.78787878787878
2022-05-03,7461.4,7578.9,7461.4,7561.0,81658.0,168.39357429718876
2022-05-04,7557.5,7588.4,7490.9,7558.0,70901.0,239.3040293040293
2022-05-05,7568.0,7623.9,7461.9,7498.0,92697.0,237.32600732600733
2022-05-06,7490.2,7509.2,7352.6,7384.2,105368.0,221.68539325842696
2022-05-09,7356.3,7393.7,7183.2,7208.3,104817.0,234.5054945054945
2022-05-10,7215.3,7312.8,7157.8,7252.3,97660.0,219.08424908424908
2022-05-11,7252.4,7357.9,7236.5,7257.4,102855.0,234.13919413919413
2022-05-12,7252.4,7273.5,7155.3,7202.4,113702.0,234.9084249084249
2022-05-13,7217.1,7442.0,7215.1,7421.1,89199.0,224.4569288389513
2022-05-16,7452.1,7508.0,7360.8,7457.6,93321.0,238.82783882783883
2022-05-17,7459.3,7540.5,7459.3,7531.8,77190.0,235.23809523809524
2022-05-18,7533.4,7546.4,7376.1,7390.4,69334.0,242.85714285714286
2022-05-19,7382.3,7400.8,7227.6,7321.2,121695.0,232.52747252747253
2022-05-20,7324.4,7455.8,7322.8,7389.4,88065.0,227.82771535580525
2022-05-23,7412.3,7519.7,7406.3,7487.3,81975.0,231.46520146520146
2022-05-24,7455.5,7537.7,7427.5,7523.0,83612.0,232.16117216117217
2022-05-25,7520.7,7562.1,7493.8,7518.2,65578.0,241.0989010989011
2022-05-26,7524.7,7581.2,7503.1,7554.7,49454.0,235.56776556776558
2022-05-27,7554.4,7601.1,7540.6,7582.9,50328.0,221.98501872659176
2022-05-30,7587.0,7626.9,7575.1,7613.8,33219.0,214.54545454545453
2022-05-31,7603.2,7649.6,7580.6,7594.6,66602.0,227.17948717948718
2022-06-01,7592.1,7638.0,7517.5,7545.0,69444.0,212.31060606060606
2022-06-06,7571.5,7648.0,7567.0,7601.1,44086.0,173.49397590361446
2022-06-07,7601.8,7632.0,7570.2,7614.3,44159.0,237.1062271062271
2022-06-08,7617.5,7636.4,7548.4,7561.5,48583.0,236.63003663003664
2022-06-09,7557.5,7573.4,7417.0,7432.0,52454.0,238.3150183150183
2022-06-10,7435.7,7450.1,7291.7,7347.7,73314.0,222.73408239700373
2022-06-13,7279.7,7309.7,7173.3,7213.9,121112.0,216.8131868131868
2022-06-14,7221.2,7272.6,7133.6,7184.4,91934.0,247.50915750915752
2022-06-15,7185.1,7314.6,7181.6,7276.5,100282.0,237.3992673992674
2022-06-16,7287.2,7335.8,7005.3,7021.9,94852.0,224.94505494505495
2022-06-17,7025.2,7137.2,6998.5,7005.7,115419.0,210.1498127340824
2022-06-20,7012.8,7137.7,6972.7,7119.1,55303.0,202.57575757575756
2022-06-21,7116.2,7202.3,7112.6,7149.7,69837.0,214.3956043956044
2022-06-22,7145.8,7146.8,7035.7,7074.8,86547.0,241.6849816849817
2022-06-23,7074.9,7123.8,6997.3,7016.4,81480.0,244.13919413919413
2022-06-24,7019.1,7254.1,7015.6,7232.1,55930.0,222.20973782771534
2022-06-27,7244.0,7293.9,7217.0,7261.0,57799.0,233.91941391941393
2022-06-28,7263.1,7370.0,7246.6,7289.1,56095.0,228.7912087912088
2022-06-29,7290.5,7354.4,7253.9,7309.5,60067.0,225.53113553113553
2022-06-30,7313.6,7313.6,7114.0,7189.0,58897.0,210.87912087912088
2022-07-01,7192.5,7243.9,7104.4,7230.0,59953.0,202.24719101123594
2022-07-04,7225.9,7265.5,7182.7,7230.0,30810.0,186.32575757575756
2022-07-05,7233.2,7289.7,7016.3,7088.2,73506.0,210.47619047619048
2022-07-06,7091.9,7206.8,7074.3,7165.9,69875.0,226.73992673992674
