time,Open,High,Low,Close,Volume,Spread
2022-02-07,1809.42,1823.49,1808.66,1820.26,59633.0,16.634361233480178
2022-02-08,1820.35,1828.69,1815.35,1825.74,59669.0,16.507246376811594
2022-02-09,1825.31,1835.73,1824.58,1832.85,66567.0,16.3768115942029
2022-02-10,1832.84,1841.86,1821.45,1826.68,89514.0,16.64855072463768
2022-02-11,1826.42,1865.41,1820.89,1859.22,112510.0,16.963636363636365
2022-02-14,1861.13,1874.06,1850.72,1870.98,119864.0,16.67753623188406
2022-02-15,1871.43,1879.38,1844.45,1853.35,81391.0,16.69927536231884
2022-02-16,1853.4,1872.49,1850.23,1869.47,77745.0,17.02173913043478
2022-02-17,1869.72,1901.06,1867.75,1898.15,107533.0,16.956521739130434
2022-02-18,1898.58,1902.39,1886.49,1897.65,81082.0,17.181818181818183
2022-02-21,1899.84,1908.19,1887.55,1902.95,76152.0,17.469635627530366
2022-02-22,1908.29,1913.94,1891.37,1898.39,108536.0,17.083333333333332
2022-02-23,1898.22,1910.37,1889.54,1908.88,73434.0,17.17753623188406
2022-02-24,1908.5,1974.32,1878.12,1903.44,171094.0,17.532608695652176
2022-02-25,1903.92,1921.33,1883.03,1888.29,115072.0,17.996363636363636
2022-02-28,1916.55,1929.55,1890.87,1908.49,112291.0,19.257246376811594
2022-03-01,1907.7,1950.1,1901.33,1944.93,105448.0,17.72463768115942
2022-03-02,1941.84,1947.82,1913.72,1928.52,106237.0,18.30072463768116
2022-03-03,1928.73,1941.12,1921.96,1935.68,96694.0,18.119565217391305
2022-03-04,1936.04,1970.3,1929.56,1969.92,120781.0,18.87272727272727
2022-03-07,1974.38,2002.48,1960.92,1997.43,150794.0,17.44927536231884
2022-03-08,1996.66,2070.3,1980.97,2049.85,154247.0,18.3768115942029
2022-03-09,2049.83,2059.04,1975.82,1991.36,140981.0,20.344202898550726
2022-03-10,1988.9,2009.07,1970.76,1996.37,113400.0,19.036231884057973
2022-03-11,1993.74,1998.92,1958.59,1985.28,84344.0,21.10909090909091
2022-03-14,1984.5,1989.85,1949.52,1950.67,85999.0,21.18402777777778
2022-03-15,1951.18,1954.49,1906.97,1917.66,90053.0,19.604166666666668
2022-03-16,1917.54,1929.46,1894.97,1926.05,85785.0,19.885416666666668
2022-03-17,1925.5,1949.71,1923.09,1942.29,73983.0,20.20486111111111
2022-03-18,1942.22,1945.21,1917.81,1919.45,66459.0,21.53684210526316
2022-03-21,1921.03,1940.99,1917.87,1935.53,71408.0,19.881944444444443
2022-03-22,1934.97,1938.32,1910.64,1921.23,72952.0,20.069444444444443
2022-03-23,1920.63,1948.24,1915.48,1943.99,66206.0,19.524305555555557
2022-03-24,1944.22,1966.12,1937.31,1957.49,74552.0,18.87152777777778
2022-03-25,1956.97,1964.18,1943.05,1954.89,80521.0,20.185964912280703
2022-03-28,1955.89,1958.96,1916.9,1922.62,99273.0,19.094202898550726
2022-03-29,1922.0,1929.18,1890.04,1919.15,98722.0,18.083333333333332
2022-03-30,1919.05,1938.44,1915.85,1932.73,92575.0,18.48913043478261
2022-03-31,1932.76,1949.76,1919.07,1937.0,81793.0,20.057971014492754
2022-04-01,1937.23,1939.43,1917.98,1924.15,95834.0,19.512727272727272
2022-04-04,1924.1,1936.79,1915.37,1932.5,77488.0,20.365942028985508
2022-04-05,1932.86,1944.47,1917.93,1923.5,81620.0,20.028985507246375
2022-04-06,1923.44,1933.39,1915.0,1924.84,114936.0,19.579710144927535
2022-04-07,1923.89,1937.73,1920.47,1931.39,75992.0,22.264492753623188
2022-04-08,1930.88,1948.05,1927.54,1946.34,71892.0,21.84
2022-04-11,1946.36,1969.54,1939.9,1953.44,101001.0,19.61231884057971
2022-04-12,1953.62,1978.49,1949.68,1966.35,80668.0,18.503623188405797
2022-04-13,1965.89,1981.47,1962.78,1977.61,84651.0,17.844202898550726
2022-04-14,1977.45,1980.26,1960.3,1973.36,81926.0,17.213768115942027
2022-04-18,1972.07,1998.3,1970.42,1978.71,82112.0,20.221014492753625
2022-04-19,1977.15,1981.87,1943.67,1949.93,92770.0,18.67391304347826
2022-04-20,1950.04,1958.25,1939.21,1957.41,96035.0,18.420289855072465
2022-04-21,1957.2,1957.24,1936.67,1951.2,92064.0,19.27536231884058
2022-04-22,1951.2,1955.52,1926.42,1931.56,106174.0,18.894545454545455
2022-04-25,1930.06,1934.35,1891.39,1897.61,117738.0,17.594202898550726
2022-04-26,1897.98,1911.14,1895.61,1905.17,101549.0,17.47826086956522
2022-04-27,1905.56,1906.93,1881.21,1885.68,99475.0,18.235507246376812
2022-04-28,1884.83,1896.66,1872.0,1894.42,92933.0,17.615942028985508
2022-04-29,1894.64,1919.9,1892.5,1896.36,90920.0,17.330909090909092
2022-05-02,1896.68,1899.79,1854.43,1862.83,85441.0,17.619565217391305
2022-05-03,1862.95,1878.05,1850.32,1868.1,84163.0,16.695652173913043
2022-05-04,1867.18,1889.63,1861.32,1881.02,76176.0,17.858695652173914
2022-05-05,1882.22,1909.7,1872.39,1877.01,105119.0,16.996376811594203
2022-05-06,1876.5,1892.43,1866.12,1882.21,98258.0,17.25090909090909
2022-05-09,1882.92,1885.54,1851.69,1853.76,104411.0,17.934782608695652
2022-05-10,1853.89,1865.37,1835.41,1837.95,107596.0,17.67753623188406
