symbol,strategy,timeframe,score,validated,valid_until,train_trades,train_win_rate,val_trades,val_win_rate
EURUSD,WilliamsRStrategy,H4,75.50105953007552,True,2026-04-26T00:01:00,41,87.8,19,100.0
USDCHF,MomentumBurstStrategy,D1,75.71835429525753,True,2026-04-26T00:01:00,41,87.8,20,100.0
USDCAD,EMAPullbackContinuationStrategy,D1,76.71547796375195,True,2026-04-26T00:01:00,36,91.67,28,96.43
NZDUSD,KaufmanAMATrendStrategy,D1,82.59663970698738,True,2026-04-26T00:01:00,57,85.96,31,100.0
AUDUSD,KeltnerBreakoutStrategy,H4,79.79049345426013,True,2026-04-26T00:01:00,67,82.09,33,96.97
USDJPY,MomentumBurstStrategy,D1,77.99213962112931,True,2026-04-26T00:01:00,31,67.74,16,100.0
AUDNZD,VolatilityBreakoutStrategy,D1,76.96483082137455,True,2026-04-26T00:01:00,58,84.48,30,96.67
GBPUSD,StochRSITrendGateStrategy,H4,77.08932008912937,True,2026-04-26T00:01:00,61,86.89,26,100.0
EURJPY,ZScoreVWAPReversionStrategy,H1,79.42882867004279,True,2026-04-26T00:01:00,39,89.74,30,96.67
GBPJPY,EMARibbonADXStrategy,H4,78.844197684009,True,2026-04-26T00:01:00,73,91.78,40,100.0
AUDJPY,EMAPullbackContinuationStrategy,D1,77.80949921828902,True,2026-04-26T00:01:00,62,91.94,32,100.0
EURGBP,VortexTrendStrategy,H4,75.88955258539325,True,2026-04-26T00:01:00,40,67.5,16,93.75
EURCHF,EMAPullbackContinuationStrategy,H4,75.0696032684137,True,2026-04-26T00:01:00,30,83.33,18,94.44
EURCAD,WilliamsRStrategy,D1,76.45293993531581,True,2026-04-26T00:01:00,33,84.85,20,100.0
EURNZD,VolatilityBreakoutStrategy,D1,75.77065416205997,True,2026-04-26T00:01:00,45,77.78,21,95.24
GBPAUD,RSITrendFilteredMRStrategy,H1,72.54833735250037,True,2026-04-26T00:01:00,44,84.09,27,92.59
EURAUD,AroonTrendStrategy,H4,80.82237734438434,True,2026-04-26T00:01:00,36,63.89,19,94.74
GBPCHF,KeltnerFadeStrategy,H1,65.26651777686334,True,2026-05-10T00:01:00,39,61.54,21,71.43
GBPCAD,HullMATrendStrategy,D1,82.19841765407743,True,2026-05-10T00:01:00,39,87.18,18,94.44
NZDJPY,VIDYABandTrendStrategy,H4,77.49741438899409,True,2026-05-10T00:01:00,33,90.91,24,100.0
AUDCHF,RelativeVigorIndexStrategy,D1,77.58399088388191,True,2026-05-10T00:01:00,52,86.54,31,96.77
CADCHF,StochRSITrendGateStrategy,H4,79.94828921647033,True,2026-05-10T00:01:00,61,90.16,28,100.0
CADJPY,StochRSITrendGateStrategy,H4,77.78900998560559,True,2026-05-10T00:01:00,43,93.02,25,100.0
AUDCAD,WilliamsRStrategy,D1,77.67969688245908,True,2026-05-10T00:01:00,50,90.0,23,100.0
NZDCHF,CCIReversalStrategy,D1,78.99797563767241,True,2026-05-10T00:01:00,39,79.49,18,94.44
NZDCAD,ZScoreVWAPReversionStrategy,H4,77.91211368765197,True,2026-05-10T00:01:00,47,78.72,20,100.0
CHFJPY,StochRSITrendGateStrategy,H4,83.34799095120167,True,2026-05-10T00:01:00,46,91.3,24,95.83
USDNOK,ZScoreVWAPReversionStrategy,H1,78.12152487695883,True,2026-05-10T00:01:00,86,87.21,40,97.5
USDSGD,MomentumBurstStrategy,D1,69.31488990590566,True,2026-05-10T00:01:00,36,80.56,20,95.0
USDMXN,ADXDIStrengthStrategy,H4,78.61375337738701,True,2026-05-10T00:01:00,51,56.86,20,90.0
USDPLN,ROCExhaustionReversalStrategy,D1,78.01354357092544,True,2026-05-10T00:01:00,40,75.0,20,100.0
GBPNZD,RSIExtremesStrategy,H4,76.98932051662297,True,2026-05-10T00:01:00,38,86.84,21,100.0
USDSEK,KaufmanAMATrendStrategy,D1,76.1426931546194,True,2026-05-10T00:01:00,52,82.69,21,95.24
USDZAR,ZScoreVWAPReversionStrategy,H1,78.09760730954814,True,2026-05-10T00:01:00,70,80.0,41,97.56
EURZAR,CCIReversalStrategy,H4,77.32571042978701,True,2026-05-10T00:01:00,42,83.33,24,91.67
XTIUSD,EMAPullbackContinuationStrategy,H4,77.5886802826679,True,2026-05-10T00:01:00,47,80.85,25,96.0
GBPZAR,BollingerBounceStrategy,H4,81.74062186808256,True,2026-05-10T00:01:00,96,80.21,33,100.0
XBRUSD,StochasticReversalStrategy,H4,76.2090952335403,True,2026-05-10T00:01:00,49,59.18,15,86.67
XNGUSD,VIDYABandTrendStrategy,H4,69.38416915980689,True,2026-05-10T00:01:00,40,77.5,23,91.3
US100,ChoppinessCompressionBreakoutStrategy,M30,75.61243382509323,True,2026-05-10T00:01:00,41,85.37,19,100.0
US500,MomentumBurstStrategy,H1,64.28936336849681,True,2026-05-10T00:01:00,49,87.76,33,93.94
US30,ZScoreVWAPReversionStrategy,H1,75.02740997406235,True,2026-05-10T00:01:00,29,89.66,16,100.0
DE30,EMARibbonADXStrategy,H1,77.96162612963865,True,2026-05-10T00:01:00,57,82.46,27,96.3
EU50,ADXTrendStrategy,H4,65.84744253921873,True,2026-05-10T00:01:00,63,73.02,21,85.71
XAGUSD,ADXTrendStrategy,H4,82.22431669483751,True,2026-05-10T00:01:00,68,70.59,30,93.33
FR40,VolumeSpikeMomentumStrategy,H4,78.81844099947817,True,2026-05-10T00:01:00,92,91.3,33,100.0
UK100,VolatilityBreakoutStrategy,D1,70.50821725735032,True,2026-05-10T00:01:00,41,43.9,19,73.68
ES35,StochRSITrendGateStrategy,D1,78.29452890565392,True,2026-05-10T00:01:00,40,72.5,20,100.0
AU200,AroonTrendStrategy,H4,77.93147631457165,True,2026-05-10T00:01:00,45,75.56,15,100.0
HK50,NarrowRangeBreakoutStrategy,D1,83.78163642186756,True,2026-05-10T00:01:00,152,84.21,25,96.0
BTCUSD,ChoppinessCompressionBreakoutStrategy,M5,55.557029361454,True,2026-05-10T00:01:00,57,82.46,22,81.82
JP225,EMAPullbackContinuationStrategy,D1,76.51975612820128,True,2026-05-10T00:01:00,45,86.67,29,96.55
TONUSD,StochasticReversalStrategy,H4,61.33378667353039,True,2026-05-10T00:01:00,58,72.41,31,87.1
BTCETH,PivotBreakoutStrategy,D1,82.57356298893092,True,2026-05-10T00:01:00,35,91.43,18,94.44
XRPUSD,DonchianBreakoutStrategy,H1,75.24150593751897,True,2026-05-10T00:01:00,110,67.27,29,82.76
XAUUSD,VolatilityBreakoutStrategy,H4,81.48577211787389,True,2026-05-10T00:01:00,39,69.23,17,94.12
LTCUSD,MACDHistogramMomentumStrategy,H4,75.4628864376696,True,2026-05-10T00:01:00,52,82.69,28,96.43
DOGUSD,KeltnerBreakoutStrategy,D1,74.91195495218328,True,2026-05-10T00:01:00,26,92.31,16,100.0
SOLUSD,BollingerBounceStrategy,H4,75.8106516168234,True,2026-05-10T00:01:00,39,84.62,21,100.0
TRXUSD,EMAPullbackContinuationStrategy,D1,65.92705759499799,True,2026-05-10T00:01:00,49,85.71,32,90.62
BCHUSD,EMAPullbackContinuationStrategy,D1,83.69848089539873,True,2026-05-10T00:01:00,100,91.0,55,96.36
ETHUSD,SqueezeBreakoutStrategy,H4,77.50354540813646,True,2026-05-10T00:01:00,56,71.43,28,82.14
